model z clump.grp clump_mass
h148_6144 0.17 389 59962.13
h148_6144 0.17 390 16415.01
h148_6144 0.17 391 76220.51
h148_6144 0.17 392 16575.75
h148_6144 0.17 393 16195.73
h148_6144 0.17 394 28091.42
h148_6144 0.17 395 16570.77
h148_6144 0.17 396 15648.36
h148_6144 0.17 397 9944.38
h148_6144 0.17 398 35462.16
h148_6144 0.17 399 39765.96
h148_6144 0.17 400 27633.15
h148_6144 0.17 401 79907.96
h148_6144 0.17 402 65055.03
h148_6144 0.17 403 33292.92
h148_6144 0.17 404 72905.18
h148_6144 0.17 405 10162.59
h148_6144 0.17 406 76144.55
h148_6144 0.17 407 83881.62
h148_6144 0.17 408 72661.58
h148_6144 0.17 409 40090.95
h148_6144 0.17 410 56975.09
h148_6144 0.17 411 28798.60
h148_6144 0.17 412 13273.95
h148_6144 0.17 413 14493.14
h148_6144 0.17 414 6654.28
h148_6144 0.17 415 13503.26
h148_6144 0.17 416 54056.87
h148_6144 0.17 417 29861.65
h148_6144 0.17 418 57595.64
h148_6144 0.17 419 44291.06
h148_6144 0.17 420 57783.42
h148_6144 0.17 421 19602.34
h148_6144 0.17 422 10223.84
h148_6144 0.17 423 33166.64
h148_6144 0.17 424 10336.98
h148_6144 0.17 425 23376.51
h148_6144 0.17 426 80486.92
h148_6144 0.17 427 32648.68
h148_6144 0.17 428 28361.53
h148_6144 0.17 429 71780.89
h148_6144 0.17 430 14021.99
h148_6144 0.17 431 12506.84
h148_6144 0.17 432 6098.73
h148_6144 0.17 433 96100.90
h148_6144 0.17 434 32988.11
h148_6144 0.17 435 6662.71
h148_6144 0.17 436 59952.82
h148_6144 0.17 437 12447.43
h148_6144 0.17 438 13273.46
h148_6144 0.17 439 71101.58
h148_6144 0.17 440 3457.94
h148_6144 0.17 441 46025.44
h148_6144 0.17 442 52610.17
h148_6144 0.17 443 37466.33
h148_6144 0.17 444 15893.98
h148_6144 0.17 445 59189.57
h148_6144 0.17 446 56310.80
h148_6144 0.17 447 10753.79
h148_6144 0.17 448 7224.65
h148_6144 0.17 449 23210.26
h148_6144 0.17 450 42287.56
h148_6144 0.17 451 20877.78
h148_6144 0.17 452 12878.75
h148_6144 0.17 453 58643.69
h148_6144 0.17 454 12988.81
h148_6144 0.17 455 31498.73
h148_6144 0.17 456 82088.66
h148_6144 0.17 457 6627.63
h148_6144 0.17 458 64406.58
h148_6144 0.17 459 36451.99
h148_6144 0.17 460 9941.45
h148_6144 0.17 461 49707.26
h148_6144 0.17 462 198509.17
h148_6144 0.17 463 46393.44
h148_6144 0.17 464 16569.11
h148_6144 0.17 465 43230.13
h148_6144 0.17 466 13476.53
h148_6144 0.17 467 96347.89
h148_6144 0.17 468 7201.64
h148_6144 0.17 469 9941.45
h148_6144 0.17 470 53036.91
h148_6144 0.17 471 33146.94
h148_6144 0.17 472 13255.27
h148_6144 0.17 473 59666.52
h148_6144 0.17 474 6627.63
h148_6144 0.17 475 49707.26
h148_6144 0.17 476 333533.27
h148_6144 0.17 477 23201.50
h148_6144 0.17 478 122763.65
h148_6144 0.17 479 195001.24
h148_6144 0.17 480 19914.86
h148_6144 0.17 481 29824.35
h148_6144 0.17 482 23224.70
h148_6144 0.17 483 26510.56
h148_6144 0.17 484 59648.71
h148_6144 0.17 485 13255.27
h148_6144 0.17 486 26510.55
h148_6144 0.17 487 55740.56
h148_6144 0.17 488 39845.43
h148_6144 0.17 489 55045.61
h148_6144 0.17 490 439054.49
h148_6144 0.17 491 273117.25
h148_6144 0.17 492 202816.05
h148_6144 0.17 493 72217.73
h148_6144 0.17 494 143361.34
h148_6144 0.17 495 29849.81
h148_6144 0.17 496 445343.10
h148_6144 0.17 497 62132.63
h148_6144 0.17 498 203379.47
h148_6144 0.17 499 704070.79
h148_6144 0.17 500 46905.98
h148_6144 0.17 501 28551.93
h148_6144 0.17 502 33604.45
h148_6144 0.17 503 82525.20
h148_6144 0.17 504 18590.76
h148_6144 0.17 505 16570.30
h148_6144 0.17 506 32179.00
h148_6144 0.17 507 31554.69
h148_6144 0.17 508 24113.61
h148_6144 0.17 509 27714.29
h148_6144 0.17 510 34045.44
h148_6144 0.17 511 33681.95
h148_6144 0.17 512 72776.03
h148_6144 0.17 513 23280.86
h148_6144 0.17 514 80768.54
h148_6144 0.17 515 27097.43
h148_6144 0.17 516 31613.96
h148_6144 0.17 517 32643.65
h148_6144 0.17 518 34906.49
h148_6144 0.17 519 77232.18
h148_6144 0.17 520 18548.32
h148_6144 0.17 521 68538.55
h148_6144 0.17 522 71164.08
h148_6144 0.17 523 79348.60
h148_6144 0.17 524 61777.00
h148_6144 0.17 525 21643.75
h148_6144 0.17 526 45644.50
h148_6144 0.17 527 24645.92
h148_6144 0.17 528 24549.66
h148_6144 0.17 529 18959.30
h148_6144 0.17 530 31586.12
h148_6144 0.17 531 26032.72
h148_6144 0.17 532 30252.62
h148_6144 0.17 533 41607.22
h148_6144 0.17 534 30979.68
h148_6144 0.17 535 31412.89
h148_6144 0.17 536 16621.26
h148_6144 0.17 537 87358.38
h148_6144 0.17 538 64506.11
h148_6144 0.17 539 70836.71
h148_6144 0.17 540 37664.89
h148_6144 0.17 541 59044.32
h148_6144 0.17 542 34686.64
h148_6144 0.17 543 69216.30
h148_6144 0.17 544 60086.29
h148_6144 0.17 545 39313.31
h148_6144 0.17 546 39759.28
h148_6144 0.17 547 49776.45
h148_6144 0.17 548 46898.70
h148_6144 0.17 549 25452.10
h148_6144 0.17 550 23393.55
h148_6144 0.17 551 32291.51
h148_6144 0.17 552 41405.37
h148_6144 0.17 553 91292.69
h148_6144 0.17 554 18478.85
h148_6144 0.17 555 53021.65
h148_6144 0.17 556 17421.86
h148_6144 0.17 557 39091.85
h148_6144 0.17 558 25137.67
h148_6144 0.17 559 18878.11
h148_6144 0.17 560 45474.29
h148_6144 0.17 561 42632.07
h148_6144 0.17 562 19458.57
h148_6144 0.17 563 13263.09
h148_6144 0.17 564 22944.43
h148_6144 0.17 565 17270.05
h148_6144 0.17 566 9942.20
h148_6144 0.17 567 33734.48
h148_6144 0.17 568 70150.34
h148_6144 0.17 569 6631.28
h148_6144 0.17 570 35416.00
h148_6144 0.17 571 61878.97
h148_6144 0.17 572 39254.08
h148_6144 0.17 573 49673.55
h148_6144 0.17 574 17051.25
h148_6144 0.17 575 55206.83
h148_6144 0.17 576 34322.75
h148_6144 0.17 577 68945.52
h148_6144 0.17 578 323685.37
h148_6144 0.17 579 35547.63
h148_6144 0.17 580 56793.94
h148_6144 0.17 581 669376.97
h148_6144 0.17 582 165127.36
h148_6144 0.17 583 2745280.64
h148_6144 0.17 584 1066420.98
h148_6144 0.17 585 76506.04
h148_6144 0.17 586 105353.66
h148_6144 0.17 587 301726.30
h148_6144 0.17 588 189898.62
h148_6144 0.17 589 178066.66
h148_6144 0.17 590 47584.39
h148_6144 0.17 591 105372.25
h148_6144 0.17 592 39590.14
h148_6144 0.17 593 11343.98
h148_6144 0.17 594 127465.73
h148_6144 0.17 595 19882.91
h148_6144 0.17 596 59087.48
h148_6144 0.17 597 131876.18
h148_6144 0.17 598 341109.65
h148_6144 0.17 599 69261.11
h148_6144 0.17 600 84960.14
h148_6144 0.17 601 32877.58
h148_6144 0.17 602 74673.15
h148_6144 0.17 603 67883.22
h148_6144 0.17 604 74050.47
h148_6144 0.17 605 18385.96
h148_6144 0.17 606 46393.44
h148_6144 0.17 607 67183.81
h148_6144 0.17 608 55704.65
h148_6144 0.17 609 14463.81
h148_6144 0.17 610 35726.68
h148_6144 0.17 611 69987.60
h148_6144 0.17 612 6627.63
h148_6144 0.17 613 61342.97
h148_6144 0.17 614 15785.34
h148_6144 0.17 615 29954.82
h148_6144 0.17 616 10651.52
h148_6144 0.17 617 16336.55
h148_6144 0.17 618 33002.45
h148_6144 0.17 619 56334.46
h148_6144 0.17 620 40368.60
h148_6144 0.17 621 63088.58
h148_6144 0.17 622 36355.84
h148_6144 0.17 623 29998.19
h148_6144 0.17 624 76219.18
h148_6144 0.17 625 54483.54
h148_6144 0.17 626 46955.97
h148_6144 0.17 627 66929.50
h148_6144 0.17 628 49575.80
h148_6144 0.17 629 42466.17
h148_6144 0.17 630 25183.61
h148_6144 0.17 631 17767.20
h148_6144 0.17 632 55008.14
h148_6144 0.17 633 19211.91
h148_6144 0.17 634 65971.38
h148_6144 0.17 635 87747.14
h148_6144 0.17 636 78671.99
h148_6144 0.17 637 45092.26
h148_6144 0.17 638 69943.75
h148_6144 0.17 639 24463.52
h148_6144 0.17 640 12577.90
h148_6144 0.17 641 70057.99
h148_6144 0.17 642 113969.14
h148_6144 0.17 643 71515.17
h148_6144 0.17 644 69863.76
h148_6144 0.17 645 27408.64
h148_6144 0.17 646 61647.11
h148_6144 0.17 647 67570.53
h148_6144 0.17 648 54490.28
h148_6144 0.17 649 80514.09
h148_6144 0.17 650 26511.53
h148_6144 0.17 651 17161.45
h148_6144 0.17 652 35782.46
h148_6144 0.17 653 43934.31
h148_6144 0.17 654 65427.25
h148_6144 0.17 655 23892.86
h148_6144 0.17 656 36160.79
h148_6144 0.17 657 24624.68
h148_6144 0.17 658 20695.18
h148_6144 0.17 659 53640.25
h148_6144 0.17 660 35732.76
h148_6144 0.17 661 61845.62
h148_6144 0.17 662 59739.48
h148_6144 0.17 663 22001.44
h148_6144 0.17 664 264308.25
h148_6144 0.17 665 70036.78
h148_6144 0.17 666 142459.99
h148_6144 0.17 667 45971.53
h148_6144 0.17 668 224103.10
h148_6144 0.17 669 59628.00
h148_6144 0.17 670 296189.22
h148_6144 0.17 671 336782.34
h148_6144 0.17 672 123387.83
h148_6144 0.17 673 49022.88
h148_6144 0.17 674 41516.52
h148_6144 0.17 675 320093.52
h148_6144 0.17 676 584083.01
h148_6144 0.17 677 457382.37
h148_6144 0.17 678 56726.09
h148_6144 0.17 679 58027.93
h148_6144 0.17 680 48792.03
h148_6144 0.17 681 71931.47
h148_6144 0.17 682 738103.38
h148_6144 0.17 683 170463.25
h148_6144 0.17 684 45207.11
h148_6144 0.17 685 64540.02
h148_6144 0.17 686 62388.70
h148_6144 0.17 687 25067.70
h148_6144 0.17 688 343992.71
h148_6144 0.17 689 282018.39
h148_6144 0.17 690 493926.91
h148_6144 0.17 691 302953.05
h148_6144 0.17 692 62517.29
h148_6144 0.17 693 83250.61
h148_6144 0.17 694 148204.47
h148_6144 0.17 695 623093.81
h148_6144 0.17 696 35970.41
h148_6144 0.17 697 281275.08
h148_6144 0.17 698 484219.66
h148_6144 0.17 699 71698.82
h148_6144 0.17 700 71965.31
h148_6144 0.17 701 168287.97
h148_6144 0.17 702 130686.53
h148_6144 0.17 703 41387.92
h148_6144 0.17 704 257048.21
h148_6144 0.17 705 18850.20
h148_6144 0.17 706 65792.22
h148_6144 0.17 707 62977.97
h148_6144 0.17 708 275088.05
h148_6144 0.17 709 45129.92
h148_6144 0.17 710 150949.54
h148_6144 0.17 711 42546.36
h148_6144 0.17 712 227112.35
h148_6144 0.17 713 110827.38
h148_6144 0.17 714 33977.76
h148_6144 0.17 715 55270.53
h148_6144 0.17 716 206021.26
h148_6144 0.17 717 28983.14
h148_6144 0.17 718 43877.37
h148_6144 0.17 719 35303.70
h148_6144 0.17 720 175207.24
h148_6144 0.17 721 6187.12
h148_6144 0.17 722 171081.25
h148_6144 0.17 723 82119.03
h148_6144 0.17 724 66650.85
h148_6144 0.17 725 27637.68
h148_6144 0.17 726 61334.30
h148_6144 0.17 727 65105.10
h148_6144 0.17 728 12893.71
h148_6144 0.17 729 36548.33
h148_6144 0.17 730 63557.96
h148_6144 0.17 731 75332.90
h148_6144 0.17 732 63957.95
h148_6144 0.17 733 150284.89
h148_6144 0.17 734 307670.65
h148_6144 0.17 735 39492.22
h148_6144 0.17 736 55327.33
h148_6144 0.17 737 177997.28
h148_6144 0.17 738 187818.97
h148_6144 0.17 739 172858.39
h148_6144 0.17 740 294740.68
h148_6144 0.17 741 124782.22
h148_6144 0.17 742 88183.08
h148_6144 0.17 743 50183.33
h148_6144 0.17 744 54392.69
h148_6144 0.17 745 153816.46
h148_6144 0.17 746 45053.32
h148_6144 0.17 747 100522.06
h148_6144 0.17 748 57347.34
h148_6144 0.17 749 15270.96
h148_6144 0.17 750 108840.02
h148_6144 0.17 751 18804.99
h148_6144 0.17 752 64088.66
h148_6144 0.17 753 60846.79
h148_6144 0.17 754 81382.53
h148_6144 0.17 755 67441.28
h148_6144 0.17 756 57765.16
h148_6144 0.17 757 54775.10
h148_6144 0.17 758 76184.13
h148_6144 0.17 759 29934.11
h148_6144 0.17 760 94868.61
h148_6144 0.17 761 54684.10
h148_6144 0.17 762 17090.79
h148_6144 0.17 763 62546.71
h148_6144 0.17 764 55597.91
h148_6144 0.17 765 84469.08
h148_6144 0.17 766 272435.13
h148_6144 0.17 767 21685.01
h148_6144 0.17 768 62071.75
h148_6144 0.17 769 60468.58
h148_6144 0.17 770 158198.54
h148_6144 0.17 771 101341.02
h148_6144 0.17 772 70059.45
h148_6144 0.17 773 66613.01
h148_6144 0.17 774 124373.10
h148_6144 0.17 775 64055.50
h148_6144 0.17 776 167924.90
h148_6144 0.17 777 269540.02
h148_6144 0.17 778 107315.68
h148_6144 0.17 779 63767.10
h148_6144 0.17 780 130682.70
h148_6144 0.17 781 405277.71
h148_6144 0.17 782 103056.19
h148_6144 0.17 783 35400.41
h148_6144 0.17 784 84116.76
h148_6144 0.17 785 390603.22
h148_6144 0.17 786 113944.12
h148_6144 0.17 787 26726.23
h148_6144 0.17 788 46676.61
h148_6144 0.17 789 35093.08
h148_6144 0.17 790 60030.44
h148_6144 0.17 791 99223.70
h148_6144 0.17 792 22492.66
h148_6144 0.17 793 39934.63
h148_6144 0.17 794 53500.39
h148_6144 0.17 795 6718.65
h148_6144 0.17 796 13381.06
h148_6144 0.17 797 13454.33
h148_6144 0.17 798 60544.28
h148_6144 0.17 799 6742.39
h148_6144 0.17 800 6314.09
h148_6144 0.17 801 32079.63
h148_6144 0.17 802 61922.31
h148_6144 0.17 803 33268.34
h148_6144 0.17 804 5676.32
h148_6144 0.17 805 57493.09
h148_6144 0.17 806 76031.08
h148_6144 0.17 807 17137.89
h148_6144 0.17 808 303825.79
h148_6144 0.17 809 495863.33
h148_6144 0.17 810 497393.51
h148_6144 0.17 811 242348.69
h148_6144 0.17 812 8371.64
h148_6144 0.17 813 50854.52
h148_6144 0.17 814 284213.06
h148_6144 0.17 815 5003.58
h148_6144 0.17 816 28678.80
h148_6144 0.17 817 9969.81
h148_6144 0.17 818 37391.38
h148_6144 0.17 819 29144.23
h148_6144 0.17 820 9941.78
