model iord timeinclumps nclumps
P0 104481 1.29 1
P0 104483 0.68 1
P0 104484 4.98 4
P0 104486 3.26 2
P0 104487 1.90 1
P0 104488 1.52 2
P0 104489 0.68 1
P0 104490 2.81 2
P0 104491 5.16 1
P0 104492 0.42 1
P0 104493 0.68 1
P0 104494 5.16 1
P0 104495 2.58 1
P0 104498 1.52 2
P0 104501 0.68 1
P0 104502 0.68 1
P0 104503 0.68 1
P0 104504 1.52 2
P0 104506 1.97 2
P0 104507 2.81 2
P0 104509 1.97 2
P0 104515 3.42 1
P0 104516 1.52 2
P0 104519 0.68 1
P0 104522 0.68 1
P0 104525 1.29 1
P0 104527 2.81 2
P0 104528 1.52 2
P0 104529 0.68 1
P0 104530 2.13 1
P0 104531 0.68 1
P0 104534 1.29 1
P0 104536 3.19 1
P0 104537 0.68 1
P0 104541 1.52 2
P0 104542 2.58 1
P0 104543 2.58 1
P0 104573 0.45 1
P0 104622 1.29 1
P0 104625 1.90 1
P0 104629 1.29 1
P0 104630 1.90 1
P0 104634 3.19 2
P0 104635 1.29 1
P0 104636 0.84 1
P0 104640 1.74 1
P0 104643 1.90 1
P0 104645 1.29 1
P0 104646 0.68 1
P0 104647 2.74 1
P0 104650 2.58 1
P0 104652 0.68 1
P0 104661 2.58 1
P0 104663 2.58 1
P0 104665 3.26 2
P0 104666 1.29 1
P0 104669 2.58 1
P0 104670 2.58 1
P0 104671 1.97 2
P0 104673 3.87 1
P0 104674 0.68 1
P0 104675 2.58 1
P0 104676 1.97 2
P0 104678 0.68 1
P0 104679 0.68 1
P0 104680 3.26 3
P0 104681 0.68 1
P0 104683 3.42 1
P0 104685 0.68 1
P0 104686 0.68 1
P0 104687 1.52 2
P0 104689 0.84 1
P0 104690 3.26 2
P0 104691 0.68 1
P0 104692 0.68 1
P0 104694 0.68 1
P0 104695 2.58 1
P0 104697 1.52 2
P0 104699 1.52 2
P0 104700 1.13 2
P0 104702 1.97 2
P0 104704 1.97 2
P0 104705 1.52 2
P0 104706 1.29 1
P0 104707 0.68 1
P0 104708 1.29 1
P0 104710 1.90 1
P0 104713 2.58 1
P0 104714 1.29 1
P0 104715 1.52 2
P0 104717 0.68 1
P0 104719 1.90 1
P0 104722 1.52 2
P0 104725 2.58 2
P0 104726 2.58 1
P0 104727 0.68 1
P0 104728 0.68 1
P0 104730 1.74 2
P0 104731 0.68 1
P0 104732 0.68 1
P0 104733 0.68 1
P0 104735 0.68 1
P0 104736 1.97 2
P0 104741 4.55 2
P0 104742 1.29 1
P0 104744 1.52 2
P0 104745 1.97 2
P0 104747 2.58 2
P0 104748 1.97 2
P0 104749 2.58 1
P0 104750 1.97 2
P0 104751 3.26 2
P0 104752 2.58 1
P0 104756 1.29 1
P0 104757 2.81 2
