model z clump.grp clump_mass
h148_6144 0.17 688 282018.39
h148_6144 0.17 689 493926.91
h148_6144 0.17 690 302953.05
h148_6144 0.17 691 62517.29
h148_6144 0.17 692 83250.61
h148_6144 0.17 693 148204.47
h148_6144 0.17 694 623093.81
h148_6144 0.17 695 35970.41
h148_6144 0.17 696 281275.08
h148_6144 0.17 697 484219.66
h148_6144 0.17 698 71698.82
h148_6144 0.17 699 71965.31
h148_6144 0.17 700 168287.97
h148_6144 0.17 701 130686.53
h148_6144 0.17 702 41387.92
h148_6144 0.17 703 257048.21
h148_6144 0.17 704 18850.20
h148_6144 0.17 705 65792.22
h148_6144 0.17 706 62977.97
h148_6144 0.17 707 275088.05
h148_6144 0.17 708 45129.92
h148_6144 0.17 709 150949.54
h148_6144 0.17 710 42546.36
h148_6144 0.17 711 227112.35
h148_6144 0.17 712 110827.38
h148_6144 0.17 713 33977.76
h148_6144 0.17 714 55270.53
h148_6144 0.17 715 206021.26
h148_6144 0.17 716 28983.14
h148_6144 0.17 717 43877.37
h148_6144 0.17 718 35303.70
h148_6144 0.17 719 175207.24
h148_6144 0.17 720 6187.12
h148_6144 0.17 721 171081.25
h148_6144 0.17 722 82119.03
h148_6144 0.17 723 66650.85
h148_6144 0.17 724 27637.68
h148_6144 0.17 725 61334.30
h148_6144 0.17 726 65105.10
h148_6144 0.17 727 12893.71
h148_6144 0.17 728 36548.33
h148_6144 0.17 729 63557.96
h148_6144 0.17 730 75332.90
h148_6144 0.17 731 63957.95
h148_6144 0.17 732 150284.89
h148_6144 0.17 733 307670.65
h148_6144 0.17 734 39492.22
h148_6144 0.17 735 55327.33
h148_6144 0.17 736 177997.28
h148_6144 0.17 737 187818.97
h148_6144 0.17 738 172858.39
h148_6144 0.17 739 294740.68
h148_6144 0.17 740 124782.22
h148_6144 0.17 741 88183.08
h148_6144 0.17 742 50183.33
h148_6144 0.17 743 54392.69
h148_6144 0.17 744 153816.46
h148_6144 0.17 745 45053.32
h148_6144 0.17 746 100522.06
h148_6144 0.17 747 57347.34
h148_6144 0.17 748 15270.96
h148_6144 0.17 749 108840.02
h148_6144 0.17 750 18804.99
h148_6144 0.17 751 64088.66
h148_6144 0.17 752 60846.79
h148_6144 0.17 753 81382.53
h148_6144 0.17 754 67441.28
h148_6144 0.17 755 57765.16
h148_6144 0.17 756 54775.10
h148_6144 0.17 757 76184.13
h148_6144 0.17 758 29934.11
h148_6144 0.17 759 94868.61
h148_6144 0.17 760 54684.10
h148_6144 0.17 761 17090.79
h148_6144 0.17 762 62546.71
h148_6144 0.17 763 55597.91
h148_6144 0.17 764 84469.08
h148_6144 0.17 765 272435.13
h148_6144 0.17 766 21685.01
h148_6144 0.17 767 62071.75
h148_6144 0.17 768 60468.58
h148_6144 0.17 769 158198.54
h148_6144 0.17 770 101341.02
h148_6144 0.17 771 70059.45
h148_6144 0.17 772 66613.01
h148_6144 0.17 773 124373.10
h148_6144 0.17 774 64055.50
h148_6144 0.17 775 167924.90
h148_6144 0.17 776 269540.02
h148_6144 0.17 777 107315.68
h148_6144 0.17 778 63767.10
h148_6144 0.17 779 130682.70
h148_6144 0.17 780 405277.71
h148_6144 0.17 781 103056.19
h148_6144 0.17 782 35400.41
h148_6144 0.17 783 84116.76
h148_6144 0.17 784 390603.22
h148_6144 0.17 785 113944.12
h148_6144 0.17 786 26726.23
h148_6144 0.17 787 46676.61
h148_6144 0.17 788 35093.08
h148_6144 0.17 789 60030.44
h148_6144 0.17 790 99223.70
h148_6144 0.17 791 22492.66
h148_6144 0.17 792 39934.63
h148_6144 0.17 793 53500.39
h148_6144 0.17 794 6718.65
h148_6144 0.17 795 13381.06
h148_6144 0.17 796 13454.33
h148_6144 0.17 797 60544.28
h148_6144 0.17 798 6742.39
h148_6144 0.17 799 6314.09
h148_6144 0.17 800 32079.63
h148_6144 0.17 801 61922.31
h148_6144 0.17 802 33268.34
h148_6144 0.17 803 5676.32
h148_6144 0.17 804 57493.09
h148_6144 0.17 805 76031.08
h148_6144 0.17 806 17137.89
h148_6144 0.17 807 303825.79
h148_6144 0.17 808 495863.33
h148_6144 0.17 809 497393.51
h148_6144 0.17 810 242348.69
h148_6144 0.17 811 8371.64
h148_6144 0.17 812 50854.52
h148_6144 0.17 813 284213.06
h148_6144 0.17 814 5003.58
h148_6144 0.17 815 28678.80
h148_6144 0.17 816 9969.81
h148_6144 0.17 817 37391.38
h148_6144 0.17 818 29144.23
h148_6144 0.17 819 9941.78
